1     0      	328171  2689286  10   
26    100    	328081  2689313  	10  
37    144    	328039  2689330  	10  
51    200    	327985  2689348  	11  
76    300    	327891  2689377  	11  
101   400    	327792  2689412  	12  
126   500    	327699  2689439  	13  
151   600    	327602  2689471  	13  
176   700    	327508  2689508  	13  
201   800    	327414  2689536  	14  
226   900    	327317  2689563  	14  
251   1000   	327219  2689592  	14  
276   1100   	327127  2689627  	14  
301   1200   	327034  2689655  	14  
326   1300   	326939  2689697  	14  
351   1400   	326847  2689738  	15  
376   1500   	326760  2689775  	15  
401   1600   	326665  2689813  	17  
426   1700   	326577  2689858  	17  
451   1800   	326488  2689905  	17  
476   1900   	326399  2689952  	18  
501   2000   	326309  2689997  	17  
526   2100   	326223  2690046  	18  
551   2200   	326133  2690096  	19  
576   2300   	326042  2690141  	21  
601   2400   	325956  2690186  	22  
626   2500   	325865  2690233  	23  
651   2600   	325783  2690279  	24  
676   2700   	325694  2690327  	25  
701   2800   	325608  2690375  	26  
726   2900   	325521  2690431  	27  
751   3000   	325445  2690498  	29  
776   3100   	325374  2690570  	30  
801   3200   	325308  2690642  	32  
826   3300   	325237  2690720  	32  
846   3380   	325215  2690795  	41  
