    Shot  Channel  Station  Channel  Station
     101        1       37      288      324
     102        1       37      288      324
     103        1       37      288      324
     104        1       37      288      324
     105        1       37      288      324
     106        1       37      288      324
     107        1       61      288      348
     108        1       61      288      348
     109        1       61      288      348
     110        1       61      288      348
     111        1       61      288      348
     112        1       61      288      348
     113        1       85      288      372
     114        1       85      288      372
     115        1       85      288      372
     116        1       85      288      372
     117        1       85      288      372
     118        1       85      288      372
     119        1      109      288      396
     120        1      109      288      396
     121        1      109      288      396
     122        1      109      288      396
     123        1      109      288      396
     124        1      109      288      396
     125        1      133      288      420
     126        1      133      288      420
     127        1      133      288      420
     128        1      133      288      420
     129        1      133      288      420
     130        1      133      288      420
     131        1      157      288      444
     132        1      157      288      444
     133        1      157      288      444
     134        1      157      288      444
     135        1      157      288      444
     136        1      157      288      444
     137        1      181      288      468
     138        1      181      288      468
     139        1      181      288      468
     140        1      181      288      468
     141        1      181      288      468
     142        1      181      288      468
     143        1      205      288      492
     144        1      205      288      492
     145        1      205      288      492
     146        1      205      288      492
     147        1      205      288      492
     148        1      205      288      492
     149        1      229      288      516
     150        1      229      288      516
     151        1      229      288      516
     152        1      229      288      516
     153        1      229      288      516
     154        1      229      288      516
     155        1      253      288      540
     156        1      253      288      540
     157        1      253      288      540
     158        1      253      288      540
     159        1      253      288      540
     160        1      253      288      540
     161        1      277      288      564
     162        1      277      288      564
     163        1      277      288      564
     164        1      277      288      564
     165        1      277      288      564
     166        1      277      288      564
     167        1      301      288      588
     168        1      301      288      588
     169        1      301      288      588
     170        1      301      288      588
     171        1      301      288      588
     172        1      301      288      588
     173        1      325      288      612
     174        1      325      288      612
     175        1      325      288      612
     176        1      325      288      612
     177        1      325      288      612
     178        1      325      288      612
     179        1      349      288      636
     180        1      349      288      636
     181        1      349      288      636
     182        1      349      288      636
     183        1      349      288      636
     184        1      349      288      636
     185        1      373      288      660
     186        1      373      288      660
     187        1      373      288      660
     188        1      373      288      660
     189        1      373      288      660
     190        1      373      288      660
     191        1      397      288      684
     192        1      397      288      684
     193        1      397      288      684
     194        1      397      288      684
     195        1      397      288      684
     196        1      397      288      684
     197        1      421      288      708
     198        1      421      288      708
     199        1      421      288      708
     200        1      421      288      708
     201        1      421      288      708
     202        1      421      288      708
     203        1      445      288      732
     204        1      445      288      732
     205        1      445      288      732
     206        1      445      288      732
     207        1      445      288      732
     208        1      445      288      732
     209        1      469      288      756
     210        1      469      288      756
     211        1      469      288      756
     212        1      469      288      756
     213        1      469      288      756
     214        1      469      288      756
     215        1      493      288      780
     216        1      493      288      780
     217        1      493      288      780
     218        1      493      288      780
     219        1      493      288      780
     220        1      493      288      780
     221        1      517      288      804
     222        1      517      288      804
     223        1      517      288      804
     224        1      517      288      804
     225        1      517      288      804
     226        1      517      288      804
     227        1      541      288      828
     228        1      541      288      828
     229        1      541      288      828
     230        1      541      288      828
     231        1      541      288      828
     232        1      541      288      828
     233        1      828      288      541
     234        1      828      288      541
     235        1      828      288      541
     236        1      828      288      541
     237        1      828      288      541
     238        1      828      288      541
     239        1      804      288      517
     240        1      804      288      517
     241        1      804      288      517
     242        1      804      288      517
     243        1      804      288      517
     244        1      804      288      517
     245        1      780      288      493
     246        1      780      288      493
     247        1      780      288      493
     248        1      780      288      493
     249        1      780      288      493
     250        1      780      288      493
     251        1      756      288      469
     252        1      756      288      469
     253        1      756      288      469
     254        1      756      288      469
     255        1      756      288      469
     256        1      756      288      469
     257        1      732      288      445
     258        1      732      288      445
     259        1      732      288      445
     260        1      732      288      445
     261        1      732      288      445
     262        1      732      288      445
     263        1      708      288      421
     264        1      708      288      421
     265        1      708      288      421
     266        1      708      288      421
     267        1      708      288      421
     268        1      708      288      421
     269        1      684      288      397
     270        1      684      288      397
     271        1      684      288      397
     272        1      684      288      397
     273        1      684      288      397
     274        1      684      288      397
     275        1      660      288      373
     276        1      660      288      373
     277        1      660      288      373
     278        1      660      288      373
     279        1      660      288      373
     280        1      660      288      373
     281        1      636      288      349
     282        1      636      288      349
     283        1      636      288      349
     284        1      636      288      349
     285        1      636      288      349
     286        1      636      288      349
     287        1      612      288      325
     288        1      612      288      325
     289        1      612      288      325
     290        1      612      288      325
     291        1      612      288      325
     292        1      612      288      325
     293        1      588      288      301
     294        1      588      288      301
     295        1      588      288      301
     296        1      588      288      301
     297        1      588      288      301
     298        1      588      288      301
     299        1      564      288      277
     300        1      564      288      277
     301        1      564      288      277
     302        1      564      288      277
     303        1      564      288      277
     304        1      564      288      277
